event_id,n_before,n_after,x0,x1,x2,x3,r_bl,theta_bl,Ne,Thetae,B,bias,dtau_scatt,dtau_abs,scatter_weight_factor,nu_before_local_hz,nu_after_local_hz,nu_before_obs_hz,nu_after_obs_hz,E_before_obs,E_after_obs,w_parent_pre_abs,w_parent_at_event,w_scatter
10068,1,2,14.096174734724629,0.51084822522598783,0.47915947021424177,5.4310711806875078,1.6667043361923535,1.5053238715230393,10445602.33708933,13.569991359318619,1574.3914892510284,100000,2.8176645621971365e-07,4.6281569334728002e-69,1.017993086367021e-05,5.3382716551389914e+17,1.0193546216333354e+21,-11941906866015016,1.3593201708263801e+21,-9.6649431671502609e-05,11.001385578032046,1.9303348494807385e+41,1.9303343055772051e+41,1.9650675311447158e+36
10069,0,1,11.205164557814918,0.99747954362437152,0.51987535984629107,5.4712710923307037,2.7114391446592152,1.6332366112754582,4024566.8173964582,8.3413870767554066,372.86969796456634,100000,3.6811129214512355e-09,1.7027836630827324e-10,1.0007092862870491e-05,55851083939995.43,15587195440561460,62945148451352.242,4158388927431732,5.0943395326710016e-07,3.3655088003500831e-05,2.0614694501183801e+46,2.0614694421788545e+46,2.0629316221305198e+41
10070,0,1,17.232526228718609,1.5026437163328943,0.55414363978831016,6.1652539663230099,4.4935530605345813,1.7408935877924638,407592.9368280698,5.033247217955056,22.786340650324707,100000,1.0362524988504646e-09,1.2072706805331194e-49,1.0001839722676398e-05,396514160044563.06,1.1202415578816942e+17,467994296502226.44,59827398826763336,3.7876181157606416e-06,0.0004842010710573002,4.7261678571541771e+44,4.726167852256674e+44,4.7270373409721038e+39
10071,0,1,1.618933388866219,0.5025605708102755,0.46948529649722659,3.5301771055463416,1.6529483478157236,1.4749315584441129,8292652.0926624238,13.682922077121404,1260.2943034022044,100000,9.8242027787961358e-09,4.8160314074953445e-12,1.0008341491493704e-05,504228492595847.75,8.2876672510052547e+18,19436946158157.242,9.8240547193408778e+18,1.5730903118677289e-07,0.079509019454518756,2.0686162959881559e+44,2.0686162756556875e+44,2.0703418305118283e+39
10072,0,1,5.2105138896575518,0.4757196110254896,0.56169612699145866,3.8908760728254954,1.6091717586783831,1.764620426106206,2023703.5050071718,14.05515807662735,315.92376200371194,100000,1.2272925546874331e-07,5.8830875825315219e-10,1.0081156493952624e-05,136425790811003.69,74506927755858160,-6117943579628.0381,98807864951713696,-4.9514351150410703e-08,0.00079968166720801323,3.1503080141125132e+46,3.1503076256242264e+46,3.1758748094421357e+41
10073,0,1,1.1880921970332872,0.48191528956704105,0.52702267780315915,3.4010606445815941,1.6191726186787236,1.6556905728616254,9553455.5580997318,13.968346042761739,1482.1943283046041,100000,9.9025553569031952e-09,4.7430890867823009e-20,1.0025990130575065e-05,5476297849151993,6.1279211019881472e+17,-179974527443596.94,4.3346062122841536e+17,-1.4565877952266572e-06,0.0035081267308260818,1.1406313938039547e+39,1.1406313825087893e+39,1.143595909690253e+34
10074,0,1,16.285580089718565,0.39499104305039223,0.4883119669141846,3.9533633207836623,1.484370895426061,1.5340772879175846,15262006.630499814,15.236868029655939,2582.8965842139837,100000,1.2584900087671612e-06,0.00022325169938509516,1.0677575494311915e-05,61101162456781.625,9.5315646180063194e+17,344513183715.867,4.8303516570372557e+17,2.7882484583962957e-09,0.0039093483784800155,8.7590705701185925e+46,8.7571042902591713e+46,9.352563727244698e+41
10075,1,2,14.097587070122998,0.51066895465839746,0.47913454093808777,5.4309193448223274,1.6664055719406174,1.5052455538922145,10443957.524174169,13.572424277440593,1574.4258011856105,100000,1.3643043000398258e-08,6.1810756577107299e-71,1.0179217303147356e-05,5.3473463549090982e+17,1.0904385719594987e+20,-11941918409453396,1.327185810871693e+20,-9.6649525096009374e-05,1.074131257113341,1.9303343055772051e+41,1.9303342792415712e+41,1.9649292364190422e+36
10076,0,1,1.0766867744399566,0.47111469786484073,0.47679393354060068,3.3190135029509662,1.6017786977352069,1.4978923188873312,10739193.955867339,14.120030109432756,1684.2516553552621,100000,1.5872578870861227e-07,0.013109916902323427,1.008122328298895e-05,3919376637344.1299,80739084803035856,-408061265800.55713,71398603496013232,-3.3025621342781802e-09,0.00057785029873804079,7.5327350730200709e+46,7.4346248678438896e+46,7.5939184202717397e+41
10077,0,1,4.2654543343885747,0.5399662932614987,0.527039623971575,3.9101419565137285,1.715949022165093,1.655743810819827,8502365.7213825881,13.180556734798555,1244.7244220200093,100000,1.2785489937148007e-07,0.093339149930581081,1.0072064055329798e-05,1159214035448.2468,273840579992238,-114849569383.05028,104529999271463.14,-9.2951198942759019e-10,8.4599261538042444e-07,1.1118395443108763e+44,1.0127573017981667e+44,1.1198519109547839e+39
10078,0,1,19.513944535642079,0.58538874137700214,0.47626370142075641,10.092483714102574,1.7956889085543324,1.4962265455549311,8439977.0023836922,12.595257080959344,1180.7228649812357,100000,1.1153636859547758e-08,0.00059243337905814887,1.003482682341895e-05,4144803248496.4976,1320130552278947,907424468408.45227,111928716451061.27,7.3440582095042107e-09,9.0587265116778799e-07,8.838243584385713e+46,8.8330089660591294e+46,8.8690243792504201e+41
10079,0,1,21.15615900527758,0.78137545379910134,0.51803758719782234,10.168367704274214,2.1844748442942459,1.6274630782240604,6418422.3827036321,10.353592992725078,738.10654483315045,100000,1.3383512004888129e-09,3.8085058732396973e-22,1.0012593965633395e-05,2159269247562467.8,3.7863211124505313e+18,1464367721539247.2,2.444413863261694e+18,1.1851566892355922e-05,0.019783374071231659,7.650689419645568e+38,7.650689409406258e+38,7.6603246716078472e+33
10080,0,1,0.75709798241158888,0.46999040158877387,0.50513911858439164,3.2623748283465308,1.5999788358888374,1.5869413439855482,13871099.253390811,14.135914134204521,2177.8825329193915,100000,2.0104900203981004e-07,5.5568168545265487e-12,1.0108572225882908e-05,1407897004450675.2,5.3507680909609274e+17,-166083820019080.53,-41369436728757064,-1.3441661365118935e-06,-0.00033481525130490237,8.1346154058810646e+42,8.1346137703797174e+42,8.2229347360128547e+37
10081,0,1,2.3623277069881814,0.52611694757557181,0.48405834661572278,3.8326375638868009,1.6923480571685705,1.5207141456367763,11078081.196017349,13.364368721236563,1644.4196859164442,100000,8.7722159074950968e-09,0.36317485475009176,1.0004968173171757e-05,118769599865.28249,124843619954480.44,133418856158.65784,76410536311603.688,1.079798793163693e-09,6.1841337326520093e-07,1.74379874595134e+32,1.2127506660409705e+32,1.7446650953659977e+27
